,Sku_id,Sku_code,Dc_name,Dc_code,Wrh,Munit,Warehouse_name,Sku_name,rate,Forecast_box,SS,Inventory,Suggestion_qty,Update_time,Account_date
0,3010321,07640,杭州配送中心,001,001,箱,杭州配送中心,智利车厘子J,10,1027.0,119.25614784991171,-744.0,1890,2020-01-16 15:10:14,2019-12-02
1,3027943,11620,杭州配送中心,001,001,箱,杭州配送中心,带叶鲜橙（小）,30,9630.0,0.0,-9054.0,18684,2020-01-16 15:10:14,2019-12-02
2,3003923,16010,杭州配送中心,001,001,斤,杭州配送中心,春蕉,18,33425.0,0.0,-32148.0,65573,2020-01-16 15:10:14,2019-12-02
3,3014452,08890,杭州配送中心,001,001,箱,杭州配送中心,金香露蜜桔,25,2658.0,17.67837096567441,-2239.0,4915,2020-01-16 15:10:14,2019-12-02
4,3027965,11650,杭州配送中心,001,001,箱,杭州配送中心,优选香梨,10,755.0,1.0,-663.0,1419,2020-01-16 15:10:14,2019-12-02
5,3004746,65550,杭州配送中心,001,001,箱,杭州配送中心,樱桃小番茄,7,1840.0,78.18484763686632,-1502.0,3420,2020-01-16 15:10:14,2019-12-02
6,3027925,11600,杭州配送中心,001,001,箱,杭州配送中心,满山红富士（大）,26,4261.0,2.0,-3691.0,7954,2020-01-16 15:10:14,2019-12-02
7,3005378,07220,杭州配送中心,001,001,箱,杭州配送中心,台湾释迦,12,138.0,0.0,-128.0,266,2020-01-16 15:10:14,2019-12-02
8,3007703,12190,杭州配送中心,001,001,斤,杭州配送中心,龙珠果,5,61.0,7.653286875584895,-43.0,112,2020-01-16 15:10:14,2019-12-02
9,3010692,65770,杭州配送中心,001,001,箱,杭州配送中心,冰糖橙,25,1244.0,40.96,-1092.0,2377,2020-01-16 15:10:14,2019-12-02
10,3010696,12130,杭州配送中心,001,001,斤,杭州配送中心,原种红玉木瓜,5,377.0,27.361403472775297,-250.0,654,2020-01-16 15:10:14,2019-12-02
11,3005446,16040,杭州配送中心,001,001,斤,杭州配送中心,进口蕉,27,8155.0,0.0,-7532.0,15687,2020-01-16 15:10:14,2019-12-02
12,3005887,05200,杭州配送中心,001,001,箱,杭州配送中心,沙洲绿宝瓜,18,20351.0,586.9039907855457,-14865.0,35803,2020-01-16 15:10:14,2019-12-02
13,3027971,11710,杭州配送中心,001,001,箱,杭州配送中心,甄选蓝莓,12,850.0,2.0,-634.0,1486,2020-01-16 15:10:14,2019-12-02
14,3000101,06850,杭州配送中心,001,001,斤,杭州配送中心,百香果（盒）,40,301.0,2.217025033688163,-266.0,569,2020-01-16 15:10:14,2019-12-02
15,3011926,01270,杭州配送中心,001,001,箱,杭州配送中心,冰糖木瓜,8,49.0,1.28,-40.0,90,2020-01-16 15:10:14,2019-12-02
16,3006437,05020,杭州配送中心,001,001,箱,杭州配送中心,鲜丰玉麒麟,26,5430.0,2.0,-5255.0,10687,2020-01-16 15:10:14,2019-12-02
17,3000187,07350,杭州配送中心,001,001,箱,杭州配送中心,泰国椰青,9,1313.0,127.45323220695504,-902.0,2342,2020-01-16 15:10:14,2019-12-02
18,3000168,07300,杭州配送中心,001,001,箱,杭州配送中心,蜜宝红心火龙果,10,374.0,31.0,-204.0,609,2020-01-16 15:10:14,2019-12-02
19,3004365,07950,杭州配送中心,001,001,箱,杭州配送中心,金尧榴莲,14,3430.0,29.0,-3199.0,6658,2020-01-16 15:10:14,2019-12-02
20,3010784,12240,杭州配送中心,001,001,箱,杭州配送中心,珍珠牛奶枣,13,1083.0,45.861705158007375,-798.0,1927,2020-01-16 15:10:14,2019-12-02
21,3005323,07340,杭州配送中心,001,001,箱,杭州配送中心,火参果,8,12.0,0.0,-2.0,14,2020-01-16 15:10:14,2019-12-02
22,3009681,13160,杭州配送中心,001,001,箱,杭州配送中心,南水梨,20,1535.0,67.80074335875678,-1117.0,2720,2020-01-16 15:10:14,2019-12-02
23,3005943,07600,杭州配送中心,001,001,箱,杭州配送中心,菲律宾凤梨,29,1898.5,30.236190236205353,-1746.5,3675,2020-01-16 15:10:14,2019-12-02
24,3013455,07540,杭州配送中心,001,001,箱,杭州配送中心,优选泰国桂圆,21,4271.0,26.38787600395303,-3631.0,7928,2020-01-16 15:10:14,2019-12-02
25,3000174,07310,杭州配送中心,001,001,箱,杭州配送中心,金火龙果,13,7585.0,139.70153327719777,-6534.0,14259,2020-01-16 15:10:14,2019-12-02
26,3014458,01310,杭州配送中心,001,001,箱,杭州配送中心,克伦森无籽红提,14,3347.0,55.90300170831616,-2460.0,5863,2020-01-16 15:10:14,2019-12-02
27,3014526,06390,杭州配送中心,001,001,箱,杭州配送中心,金边香芒,10,1583.0,69.83922107240315,-1338.0,2991,2020-01-16 15:10:14,2019-12-02
