,产品定位,goods_code,商品名称,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,民生吸客,07540,优选泰国桂圆,274.0,108.0,2019-12-05,102.0,136.5,166.0,0.0,0,0.43455497382198954,2.301204819277108,14830.452,26.0715,737.1,0,22659.0,2019-12-05
1,民生吸客,07310,金火龙果,611.0,24.0,2019-12-05,102.0,135.0,587.0,0.0,0,0.9244094488188976,1.081771720613288,3259.44,42.862500000000004,162.0,0,79245.0,2019-12-05
2,民生吸客,11620,带叶鲜橙（小）,212.0,120.0,2019-12-05,102.0,90.0,92.0,0.0,0,0.27710843373493976,3.608695652173913,10864.8,14.94,540.0,0,8280.0,2019-12-05
3,民生吸客,07350,泰国椰青,486.0,278.0,2019-12-05,102.0,70.02,208.0,0.0,0,0.27225130890052357,3.673076923076923,19582.353359999997,26.74764,973.2779999999999,0,14564.16,2019-12-05
4,核心主推,13160,南水梨,539.0,443.0,2019-12-05,102.0,110.0,96.0,0.0,0,0.09775967413441955,10.229166666666666,49022.38,54.01,2436.5,0,10560.0,2019-12-05
5,核心主推,06390,金边香芒,155.0,2.0,2019-12-05,102.0,85.0,153.0,0.0,0,0.9745222929936306,1.026143790849673,171.02,6.6725,8.5,0,13005.0,2019-12-05
6,核心主推,05200,沙洲绿宝瓜,5032.0,3665.0,2019-12-05,102.0,72.0,1367.0,0.0,0,0.1571806370012648,6.362106803218727,265463.28,313.092,13194.0,0,98424.0,2019-12-05
7,核心主推,01310,克伦森无籽红提,1133.0,820.0,2019-12-05,102.0,216.0,313.0,0.0,0,0.16026625704045058,6.239616613418531,178182.72,210.924,8856.0,0,67608.0,2019-12-05
8,核心主推,05020,鲜丰玉麒麟,339.0,145.0,2019-12-05,102.0,105.0,194.0,0.0,0,0.40082644628099173,2.4948453608247423,15316.35,25.41,761.25,0,20370.0,2019-12-05
9,差异单品,06850,百香果（盒）,58.0,36.0,2019-12-05,102.0,17.5,22.0,0.0,0,0.23404255319148937,4.2727272727272725,633.78,0.8225,31.5,0,385.0,2019-12-05
10,差异单品,65770,冰糖橙,112.0,68.0,2019-12-05,102.0,112.5,44.0,0.0,0,0.24444444444444444,4.090909090909091,7695.9,10.125,382.5,0,4950.0,2019-12-05
11,差异单品,07600,菲律宾凤梨,327.0,263.0,2019-12-05,102.0,110.0,64.0,0.0,0,0.10847457627118644,9.21875,29103.58,32.45,1446.5,0,7040.0,2019-12-05
12,差异单品,12190,龙珠果,21.0,8.0,2019-12-05,102.0,70.0,13.0,0.0,0,0.4482758620689655,2.230769230769231,563.36,1.0150000000000001,28.0,0,910.0,2019-12-05
13,差异单品,01270,冰糖木瓜,22.0,21.0,2019-12-05,102.0,55.04,1.0,0.0,0,0.023255813953488372,43.0,1162.77504,1.18336,57.792,0,55.04,2019-12-05
14,差异单品,07340,火参果,13.0,9.0,2019-12-05,102.0,90.0,4.0,0.0,0,0.18181818181818182,5.5,814.86,0.99,40.5,0,360.0,2019-12-05
15,差异单品,07300,蜜宝红心火龙果,149.0,94.0,2019-12-05,102.0,100.0,55.0,0.0,0,0.22633744855967078,4.418181818181818,9456.4,12.15,470.0,0,5500.0,2019-12-05
16,差异单品,11650,优选香梨,1486.0,1397.0,2019-12-05,102.0,63.0,89.0,0.0,0,0.030870620881026708,32.39325842696629,88539.066,90.8145,4400.55,0,5607.0,2019-12-05
17,差异单品,07950,金尧榴莲,268.0,54.0,2019-12-05,102.0,279.995,214.0,0.0,0,0.6645962732919255,1.5046728971962615,15210.44838,45.079195,755.9865,0,59918.93,2019-12-05
18,差异单品,11710,甄选蓝莓,153.0,35.0,2019-12-05,102.0,110.03999999999999,118.0,0.0,0,0.6276595744680851,1.593220338983051,3874.5083999999997,10.343759999999998,192.57,0,12984.72,2019-12-05
19,差异单品,12130,原种红玉木瓜,111.0,70.0,2019-12-05,102.0,38.0,41.0,0.0,0,0.2265193370165746,4.414634146341463,2675.96,3.439,133.0,0,1558.0,2019-12-05
20,差异单品,07220,台湾释迦,60.0,8.0,2019-12-05,102.0,109.97999999999999,52.0,0.0,0,0.7647058823529411,1.3076923076923077,885.1190399999999,3.7393199999999998,43.992,0,5718.959999999999,2019-12-05
21,差异单品,12240,珍珠牛奶枣,442.0,329.0,2019-12-05,102.0,84.0,113.0,0.0,0,0.14656290531776914,6.823008849557522,27801.816,32.382,1381.8000000000002,0,9492.0,2019-12-05
