,产品定位,goods_code,商品名称,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,民生吸客,07540,优选泰国桂圆,763.0,138,2019-12-01,102.0,136.5,625.0,0,0.0,0.6936736958934517,1.4416,18950.022,61.49325,941.85,0.0,85312.5,2019-12-01
1,民生吸客,07310,金火龙果,1579.0,916,2019-12-01,102.0,135.0,663.0,0,0.0,0.2657314629258517,3.7631975867269984,124401.96,168.4125,6183.0,0.0,89505.0,2019-12-01
2,民生吸客,11620,带叶鲜橙（小）,506.0,0,2019-12-01,102.0,90.0,506.0,-70,0.12152777777777778,1.0,1.0,0.0,22.77,0.0,6741.0,45540.0,2019-12-01
3,民生吸客,07350,泰国椰青,439.0,313,2019-12-01,102.0,70.02,126.0,0,0.0,0.1675531914893617,5.968253968253968,22047.75756,26.327519999999996,1095.8129999999999,0.0,8822.519999999999,2019-12-01
4,核心主推,13160,南水梨,479.0,383,2019-12-01,102.0,110.0,96.0,0,0.0,0.11136890951276102,8.979166666666668,42382.78,47.410000000000004,2106.5,0.0,10560.0,2019-12-01
5,核心主推,06390,金边香芒,200.0,38,2019-12-01,102.0,85.0,162.0,0,0.0,0.680672268907563,1.4691358024691357,3249.38,10.115,161.5,0.0,13770.0,2019-12-01
6,核心主推,05200,沙洲绿宝瓜,5888.0,4863,2019-12-01,102.0,72.0,1025.0,0,0.0,0.09533996837503488,10.48878048780488,352236.816,387.036,17506.8,0.0,73800.0,2019-12-01
7,核心主推,01310,克伦森无籽红提,1109.0,858,2019-12-01,102.0,216.0,251.0,0,0.0,0.12760549059481444,7.836653386454183,186439.968,212.436,9266.4,0.0,54216.0,2019-12-01
8,核心主推,05020,鲜丰玉麒麟,212.0,21,2019-12-01,102.0,105.0,191.0,0,0.0,0.8197424892703863,1.219895287958115,2218.23,12.2325,110.25,0.0,20055.0,2019-12-01
9,差异单品,06850,百香果（盒）,40.0,7,2019-12-01,102.0,17.5,33.0,0,0.0,0.7021276595744681,1.4242424242424243,123.235,0.41125,6.125,0.0,577.5,2019-12-01
10,差异单品,65770,冰糖橙,179.0,138,2019-12-01,102.0,112.5,41.0,0,0.0,0.12933753943217666,7.7317073170731705,15618.15,17.83125,776.25,0.0,4612.5,2019-12-01
11,差异单品,07600,菲律宾凤梨,122.0,50,2019-12-01,102.0,110.0,72.0,0,0.0,0.4186046511627907,2.388888888888889,5533.0,9.46,275.0,0.0,7920.0,2019-12-01
12,差异单品,12190,龙珠果,20.0,9,2019-12-01,102.0,70.0,11.0,0,0.0,0.3793103448275862,2.6363636363636367,633.78,1.0150000000000001,31.5,0.0,770.0,2019-12-01
13,差异单品,01270,冰糖木瓜,13.0,7,2019-12-01,102.0,55.04,6.0,0,0.0,0.3,3.3333333333333335,387.59168,0.5504,19.264,0.0,330.24,2019-12-01
14,差异单品,07340,火参果,15.0,7,2019-12-01,102.0,90.0,8.0,0,0.0,0.36363636363636365,2.75,633.78,0.99,31.5,0.0,720.0,2019-12-01
15,差异单品,07300,蜜宝红心火龙果,191.0,156,2019-12-01,102.0,100.0,35.0,0,0.0,0.10086455331412104,9.914285714285713,15693.6,17.35,780.0,0.0,3500.0,2019-12-01
16,差异单品,11650,优选香梨,160.0,93,2019-12-01,102.0,63.0,67.0,0,0.0,0.2648221343873518,3.776119402985074,5894.154,7.9695,292.95,0.0,4221.0,2019-12-01
17,差异单品,07950,金尧榴莲,221.0,59,2019-12-01,102.0,279.995,162.0,0,0.0,0.5785714285714286,1.728395061728395,16618.82323,39.1993,825.9852500000002,0.0,45359.19,2019-12-01
18,差异单品,11710,甄选蓝莓,294.0,218,2019-12-01,102.0,110.03999999999999,76.0,0,0.0,0.1484375,6.7368421052631575,24132.652319999997,28.17024,1199.436,0.0,8363.039999999999,2019-12-01
19,差异单品,12130,原种红玉木瓜,153.0,120,2019-12-01,102.0,38.0,33.0,0,0.0,0.12087912087912088,8.272727272727273,4587.36,5.187,228.0,0.0,1254.0,2019-12-01
20,差异单品,07220,台湾释迦,19.0,9,2019-12-01,102.0,109.97999999999999,10.0,0,0.0,0.35714285714285715,2.8,995.75892,1.5397199999999998,49.491,0.0,1099.8,2019-12-01
21,差异单品,12240,珍珠牛奶枣,373.0,266,2019-12-01,102.0,84.0,107.0,0,0.0,0.1674491392801252,5.97196261682243,22478.064,26.838,1117.2,0.0,8988.0,2019-12-01
