,Sku_id,Sku_code,Dc_name,Dc_code,Wrh,Munit,Warehouse_name,Sku_name,rate,Forecast_box,SS,Inventory,Suggestion_qty,Update_time,Account_date
0,3010321,07640,杭州配送中心,001,001,箱,杭州配送中心,智利车厘子J,10,342.0,240.09128930471428,0.0,582,2020-02-15 14:52:29,2020-01-11
1,3027943,11620,杭州配送中心,001,001,箱,杭州配送中心,带叶鲜橙（小）,30,70.0,0.0,-3.0,73,2020-02-15 14:52:29,2020-01-11
2,3003923,16010,杭州配送中心,001,001,斤,杭州配送中心,春蕉,18,659.0,0.0,-214.0,873,2020-02-15 14:52:29,2020-01-11
3,3014452,08890,杭州配送中心,001,001,箱,杭州配送中心,金香露蜜桔,25,3.0,3.0,0.0,6,2020-02-15 14:52:29,2020-01-11
4,3027965,11650,杭州配送中心,001,001,箱,杭州配送中心,优选香梨,10,138.0,3.0,-61.0,202,2020-02-15 14:52:29,2020-01-11
5,3004746,65550,杭州配送中心,001,001,箱,杭州配送中心,樱桃小番茄,7,9.0,6.773123356325352,0.0,16,2020-02-15 14:52:29,2020-01-11
6,3027925,11600,杭州配送中心,001,001,箱,杭州配送中心,满山红富士（大）,26,4.0,4.0,0.0,8,2020-02-15 14:52:29,2020-01-11
7,3005378,07220,杭州配送中心,001,001,箱,杭州配送中心,台湾释迦,12,56.0,4.746367031741224,-10.0,71,2020-02-15 14:52:29,2020-01-11
8,3007703,12190,杭州配送中心,001,001,斤,杭州配送中心,龙珠果,5,5.0,1.0,2.0,4,2020-02-15 14:52:29,2020-01-11
9,3010692,65770,杭州配送中心,001,001,箱,杭州配送中心,冰糖橙,25,12.0,0.0,2.0,10,2020-02-15 14:52:29,2020-01-11
10,3010696,12130,杭州配送中心,001,001,斤,杭州配送中心,原种红玉木瓜,5,66.0,7.0108487360661265,49.0,24,2020-02-15 14:52:29,2020-01-11
11,3005446,16040,杭州配送中心,001,001,斤,杭州配送中心,进口蕉,27,552.0,0.0,133.0,419,2020-02-15 14:52:29,2020-01-11
12,3005887,05200,杭州配送中心,001,001,箱,杭州配送中心,沙洲绿宝瓜,18,791.0,92.93672686295768,-192.0,1076,2020-02-15 14:52:29,2020-01-11
13,3027971,11710,杭州配送中心,001,001,箱,杭州配送中心,甄选蓝莓,12,214.0,5.0,-61.0,280,2020-02-15 14:52:29,2020-01-11
14,3000101,06850,杭州配送中心,001,001,箱,杭州配送中心,百香果（盒）,850,28.0,0.0,-10.0,38,2020-02-15 14:52:29,2020-01-11
15,3011926,01270,杭州配送中心,001,001,箱,杭州配送中心,冰糖木瓜,8,6.0,1.781684596105607,3.0,5,2020-02-15 14:52:29,2020-01-11
16,3006437,05020,杭州配送中心,001,001,箱,杭州配送中心,鲜丰玉麒麟,26,226.0,2.0,-63.0,291,2020-02-15 14:52:29,2020-01-11
17,3000187,07350,杭州配送中心,001,001,箱,杭州配送中心,泰国椰青,9,228.0,207.15224160022987,0.0,435,2020-02-15 14:52:29,2020-01-11
18,3000168,07300,杭州配送中心,001,001,箱,杭州配送中心,蜜宝红心火龙果,10,33.0,11.93475596734177,25.0,20,2020-02-15 14:52:29,2020-01-11
19,3004365,07950,杭州配送中心,001,001,箱,杭州配送中心,金尧榴莲,14,26.0,25.52789846422929,0.0,52,2020-02-15 14:52:29,2020-01-11
20,3010784,12240,杭州配送中心,001,001,箱,杭州配送中心,珍珠牛奶枣,13,119.0,86.59415222750322,76.0,130,2020-02-15 14:52:29,2020-01-11
21,3005323,07340,杭州配送中心,001,001,箱,杭州配送中心,火参果,8,6.0,1.0,-3.0,10,2020-02-15 14:52:29,2020-01-11
22,3009681,13160,杭州配送中心,001,001,箱,杭州配送中心,南水梨,20,100.0,42.988519397625225,122.0,21,2020-02-15 14:52:29,2020-01-11
23,3005943,07600,杭州配送中心,001,001,箱,杭州配送中心,菲律宾凤梨,29,81.0,29.312768548876445,52.0,58,2020-02-15 14:52:29,2020-01-11
24,3013455,07540,杭州配送中心,001,001,箱,杭州配送中心,优选泰国桂圆,21,4.0,4.0,0.0,8,2020-02-15 14:52:29,2020-01-11
25,3000174,07310,杭州配送中心,001,001,箱,杭州配送中心,金火龙果,13,289.0,102.34748653484365,61.0,330,2020-02-15 14:52:29,2020-01-11
26,3014458,01310,杭州配送中心,001,001,箱,杭州配送中心,克伦森无籽红提,14,213.0,3.84,-62.0,279,2020-02-15 14:52:29,2020-01-11
27,3014526,06390,杭州配送中心,001,001,箱,杭州配送中心,金边香芒,10,123.0,46.784612855083026,86.0,84,2020-02-15 14:52:29,2020-01-11
