,产品定位,goods_code,商品名称,Stock,Inventory,日期,订货仓库,箱价,ORDER_SUM,stockout,缺货率,ito,ito_day,资金占用成本,库存管理成本,商品价值损耗成本,缺货成本,销售额,time
0,民生吸客,07540,优选泰国桂圆,662,456,2019-12-02,102,136.5,206,0,0,0.18425760286225404,5.427184466019417,62617.464,76.3035,3112.2000000000003,0,28119.0,2019-12-02
1,民生吸客,07310,金火龙果,918,315,2019-12-02,102,135.0,603,0,0,0.48905109489051096,2.044776119402985,42780.15,83.2275,2126.25,0,81405.0,2019-12-02
2,民生吸客,11620,带叶鲜橙（小）,1050,726,2019-12-02,102,90.0,324,0,0,0.18243243243243243,5.481481481481482,65732.04,79.92,3267.0,0,29160.0,2019-12-02
3,民生吸客,07350,泰国椰青,305,170,2019-12-02,102,70.02,135,0,0,0.28421052631578947,3.5185185185185186,11974.8204,16.62975,595.17,0,9452.699999999999,2019-12-02
4,核心主推,13160,南水梨,1334,1075,2019-12-02,102,110.0,259,0,0,0.10751349107513491,9.301158301158301,118959.5,132.495,5912.5,0,28490.0,2019-12-02
5,核心主推,06390,金边香芒,287,129,2019-12-02,102,85.0,158,0,0,0.3798076923076923,2.6329113924050636,11030.79,17.68,548.25,0,13430.0,2019-12-02
6,核心主推,05200,沙洲绿宝瓜,8250,7007,2019-12-02,102,72.0,1243,0,0,0.08147080028839221,12.274336283185841,507531.024,549.2520000000001,25225.2,0,89496.0,2019-12-02
7,核心主推,01310,克伦森无籽红提,858,620,2019-12-02,102,216.0,238,0,0,0.16102841677943167,6.2100840336134455,134723.52,159.624,6696.0,0,51408.0,2019-12-02
8,核心主推,05020,鲜丰玉麒麟,319,137,2019-12-02,102,105.0,182,0,0,0.3991228070175439,2.5054945054945055,14471.31,23.94,719.25,0,19110.0,2019-12-02
9,差异单品,06850,百香果（盒）,59,29,2019-12-02,102,17.5,30,0,0,0.3409090909090909,2.9333333333333336,510.545,0.77,25.375,0,525.0,2019-12-02
10,差异单品,65770,冰糖橙,138,95,2019-12-02,102,112.5,43,0,0,0.18454935622317598,5.4186046511627906,10751.625,13.106250000000001,534.375,0,4837.5,2019-12-02
11,差异单品,07600,菲律宾凤梨,265,195,2019-12-02,102,110.0,70,0,0,0.15217391304347827,6.571428571428571,21578.7,25.3,1072.5,0,7700.0,2019-12-02
12,差异单品,12190,龙珠果,19,7,2019-12-02,102,70.0,12,0,0,0.46153846153846156,2.1666666666666665,492.94,0.91,24.5,0,840.0,2019-12-02
13,差异单品,01270,冰糖木瓜,27,21,2019-12-02,102,55.04,6,0,0,0.125,8.0,1162.77504,1.3209600000000001,57.792,0,330.24,2019-12-02
14,差异单品,07340,火参果,13,11,2019-12-02,102,90.0,2,0,0,0.08333333333333333,12.0,995.94,1.08,49.5,0,180.0,2019-12-02
15,差异单品,07300,蜜宝红心火龙果,156,120,2019-12-02,102,100.0,36,0,0,0.13043478260869565,7.666666666666667,12072.0,13.8,600.0,0,3600.0,2019-12-02
16,差异单品,11650,优选香梨,243,171,2019-12-02,102,63.0,72,0,0,0.17391304347826086,5.75,10837.638,13.041,538.65,0,4536.0,2019-12-02
17,差异单品,07950,金尧榴莲,388,150,2019-12-02,102,279.995,238,0,0,0.4423791821561338,2.2605042016806722,42251.2455,75.318655,2099.9625,0,66638.81,2019-12-02
18,差异单品,11710,甄选蓝莓,213,141,2019-12-02,102,110.03999999999999,72,0,0,0.2033898305084746,4.916666666666666,15608.733839999999,19.477079999999997,775.782,0,7922.879999999999,2019-12-02
19,差异单品,12130,原种红玉木瓜,119,82,2019-12-02,102,38.0,37,0,0,0.18407960199004975,5.4324324324324325,3134.696,3.819,155.8,0,1406.0,2019-12-02
20,差异单品,07220,台湾释迦,49,26,2019-12-02,102,109.97999999999999,23,0,0,0.30666666666666664,3.2608695652173916,2876.6368799999996,4.12425,142.974,0,2529.54,2019-12-02
21,差异单品,12240,珍珠牛奶枣,266,190,2019-12-02,102,84.0,76,0,0,0.16666666666666666,6.0,16055.76,19.152,798.0,0,6384.0,2019-12-02
