,Account_date,sales_qty,price_unit,in_price_unit,7d_ipu_mean,7d_ipu_var_,7d_ipu_trend,7d_ipu_cv,14d_ipu_mean,14d_ipu_var_,14d_ipu_trend,14d_ipu_cv,21d_ipu_mean,21d_ipu_var_,21d_ipu_trend,21d_ipu_cv,back_1day_price_unit,back_3day_price_unit,back_7day_price_unit,7d_p_mean,7d_p_var_,7d_p_trend,7d_p_cv,14d_p_mean,14d_p_var_,14d_p_trend,14d_p_cv,21d_p_mean,21d_p_var_,21d_p_trend,21d_p_cv
0,2018-01-01,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2018-01-02,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2018-01-03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2018-01-04,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2018-01-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2018-01-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2018-01-07,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2018-01-08,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2018-01-09,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018-01-10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2018-01-11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2018-01-12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2018-01-13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2018-01-14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2018-01-15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2018-01-16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2018-01-17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2018-01-18,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2018-01-19,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2018-01-20,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2018-01-21,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2018-01-22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2018-01-23,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2018-01-24,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2018-01-25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
